uuid,user,session,id,category,event,start,end,tag
out:f6fc7e9f-573f-5799-ade0-4d38789a5cef,U0209,S0500,Ex06,Additional,Clean Up the Workbench,2022-03-29 14:34:51.517000+09:00,2022-03-29 14:34:53.036000+09:00,
out:ddb9a5a0-3dd1-5a7d-9996-c39509918ac8,U0209,S0500,Cx04,Confused,Process,2022-03-29 14:35:26.370000+09:00,2022-03-29 14:35:27.875000+09:00,
out:44f0852b-f76b-536e-85b2-8fa0713e8a4a,U0209,S0500,Cx02,Confused,Box Size,2022-03-29 14:35:28.287000+09:00,2022-03-29 14:35:28.618000+09:00,
out:395b4cc0-8310-5364-ac8d-51ff6c70cc29,U0209,S0500,Aa07,Incident,Wrong Choice of Box Size,2022-03-29 14:35:28.976000+09:00,2022-03-29 14:35:31.184000+09:00,M
out:0617ddc6-4481-5645-9ee6-5048994755e1,U0209,S0500,Ab03,Investigation,Check Box Size,2022-03-29 14:35:31.211000+09:00,2022-03-29 14:35:31.846000+09:00,Box
out:c4400c04-9f8b-51c8-9151-585b9f79eba7,U0209,S0500,Ac07,Recovery,Return Box,2022-03-29 14:35:31.874000+09:00,2022-03-29 14:35:32.757000+09:00,
out:342844bc-bd0b-5923-a3c8-d836bdff94c4,U0209,S0500,Ex06,Additional,Clean Up the Workbench,2022-03-29 14:36:03.218000+09:00,2022-03-29 14:36:03.715000+09:00,
out:c7fd399e-ed5a-533f-9188-0668187ce1da,U0209,S0500,Bx04,Struggling,Scan,2022-03-29 14:36:06.734000+09:00,2022-03-29 14:36:08.637000+09:00,HT
out:95fb3f3d-ffd1-527d-a3ff-d083c83283ea,U0209,S0500,Aa03,Incident,Accident,2022-03-29 14:36:10.142000+09:00,2022-03-29 14:36:11.094000+09:00,Single
out:62788aef-5d02-57a1-ae3e-052b0297f7c7,U0209,S0500,Ex06,Additional,Clean Up the Workbench,2022-03-29 14:37:08.722000+09:00,2022-03-29 14:37:10.102000+09:00,
out:03c5ec63-1080-54a6-a3ff-a5feda45f2a5,U0209,S0500,Dx02,Parallel,Action&Action,2022-03-29 14:37:40.798000+09:00,2022-03-29 14:37:41.556000+09:00,0801*1003
out:617065b2-8390-56a6-b71e-d090a9fc9ae2,U0209,S0500,Ex08,Additional,Move Box,2022-03-29 14:38:17.840000+09:00,2022-03-29 14:38:18.364000+09:00,
out:94675995-8e67-588d-a554-ee99f0552914,U0209,S0500,Dx02,Parallel,Action&Action,2022-03-29 14:38:39.611000+09:00,2022-03-29 14:38:40.107000+09:00,0801*1003
out:fb541125-ff5b-556f-bcb9-ffaa729c120b,U0209,S0500,Ex08,Additional,Move Box,2022-03-29 14:39:21.274000+09:00,2022-03-29 14:39:21.743000+09:00,
out:0578e824-7acb-54d2-af5b-196448531c75,U0209,S0500,Ex08,Additional,Move Box,2022-03-29 14:39:24.060000+09:00,2022-03-29 14:39:24.971000+09:00,
out:43968220-66aa-5bb8-9642-ceb18216444e,U0209,S0500,Bx04,Struggling,Scan,2022-03-29 14:39:25.855000+09:00,2022-03-29 14:39:26.958000+09:00,HT
out:ea3b2204-5350-5064-8e9f-689071bdd39b,U0209,S0500,Ex08,Additional,Move Box,2022-03-29 14:40:19.245000+09:00,2022-03-29 14:40:19.797000+09:00,
out:39824e11-a358-5e10-b972-9799b4a13582,U0209,S0500,Bx04,Struggling,Scan,2022-03-29 14:40:25.222000+09:00,2022-03-29 14:40:26.827000+09:00,HT
out:0031a5a1-77a2-51cb-8a59-160bb68738e9,U0209,S0500,Dx02,Parallel,Action&Action,2022-03-29 14:40:36.329000+09:00,2022-03-29 14:40:37.180000+09:00,0801*1003
out:4c4c36f6-cbc6-5b69-a9ca-ce7e0604c40c,U0209,S0500,Ex03,Additional,Dispose,2022-03-29 14:40:50.830000+09:00,2022-03-29 14:40:53.173000+09:00,
out:d20ff762-acb2-55fc-bc13-7fda6d890e9e,U0209,S0500,Bx03,Struggling,Label,2022-03-29 14:40:56.951000+09:00,2022-03-29 14:40:59.365000+09:00,Item
out:4bbe2a90-69a1-5b00-8cf7-f5f9a0ca8baa,U0209,S0500,Ex08,Additional,Move Box,2022-03-29 14:41:29.357000+09:00,2022-03-29 14:41:29.881000+09:00,
out:7587e18c-e640-5f15-bf37-36332f3b1560,U0209,S0500,Bx04,Struggling,Scan,2022-03-29 14:41:36.006000+09:00,2022-03-29 14:41:37.276000+09:00,HT
out:bff14d5b-ed5d-50ec-b4f4-6c688aee71d4,U0209,S0500,Bx04,Struggling,Scan,2022-03-29 14:41:41.036000+09:00,2022-03-29 14:41:43.550000+09:00,LP
out:be94b060-5016-585f-aad1-3e4305316c05,U0209,S0500,Bx03,Struggling,Label,2022-03-29 14:42:21.045000+09:00,2022-03-29 14:42:23.062000+09:00,Item
out:259d1575-af0b-5048-97c8-26e4185415b5,U0209,S0500,Ex08,Additional,Move Box,2022-03-29 14:42:53.622000+09:00,2022-03-29 14:42:54.311000+09:00,
out:9a90deab-3ad3-59e4-a419-a4bdcabf84ec,U0209,S0500,Bx04,Struggling,Scan,2022-03-29 14:42:59.676000+09:00,2022-03-29 14:43:00.756000+09:00,HT
out:da0dc905-2b11-5dc0-958d-403d0a33ba9e,U0209,S0500,Dx02,Parallel,Action&Action,2022-03-29 14:43:17.117000+09:00,2022-03-29 14:43:17.378000+09:00,0801*1003
out:84da18dd-455e-53e9-b59e-17ab7ac09280,U0209,S0500,Ex06,Additional,Clean Up the Workbench,2022-03-29 14:43:28.084000+09:00,2022-03-29 14:43:29.436000+09:00,
out:bf75a1f5-51c5-5e22-9cda-11342a1ff6d2,U0209,S0500,Bx04,Struggling,Scan,2022-03-29 14:44:02.040000+09:00,2022-03-29 14:44:03.389000+09:00,HT
out:fdeaf7c0-9c9f-548f-b0aa-a456194c91c0,U0209,S0500,Dx02,Parallel,Action&Action,2022-03-29 14:44:13.019000+09:00,2022-03-29 14:44:13.611000+09:00,0801*1003
out:d22a5622-d388-5c28-9ae1-16d41f75ffb7,U0209,S0500,Aa02,Incident,Miss,2022-03-29 14:45:05.760000+09:00,2022-03-29 14:45:06.202000+09:00,HIGH
out:9a511d2b-7bb9-5cbd-a7eb-1c9be1801583,U0209,S0500,Ex06,Additional,Clean Up the Workbench,2022-03-29 14:45:06.229000+09:00,2022-03-29 14:45:08.161000+09:00,
out:90018d5c-1d00-5440-853f-fb11ecb24a8c,U0209,S0500,Bx04,Struggling,Scan,2022-03-29 14:45:09.532000+09:00,2022-03-29 14:45:10.966000+09:00,HT
out:e5c219a4-3941-522d-a609-cf3d2f110e9b,U0209,S0500,Bx04,Struggling,Scan,2022-03-29 14:45:11.307000+09:00,2022-03-29 14:45:12.386000+09:00,HT
out:6c3e6a23-3c4e-587f-8aab-6377131a5cb6,U0209,S0500,Ex08,Additional,Move Box,2022-03-29 14:45:28.082000+09:00,2022-03-29 14:45:28.689000+09:00,
out:46ed255d-f122-526b-a497-0fdd46d62d26,U0209,S0500,Ex06,Additional,Clean Up the Workbench,2022-03-29 14:45:28.717000+09:00,2022-03-29 14:45:29.434000+09:00,
out:2245f5ba-9060-58e4-b481-d0e9ffdecc28,U0209,S0500,Bx03,Struggling,Label,2022-03-29 14:45:39.656000+09:00,2022-03-29 14:45:41.815000+09:00,Item
out:c1183c44-1e62-5d5c-b04c-1594a3606b0c,U0209,S0500,Ex08,Additional,Move Box,2022-03-29 14:46:24.646000+09:00,2022-03-29 14:46:25.363000+09:00,
out:450642b1-f475-5a8e-bd73-b6339392c0f9,U0209,S0500,Ex07,Additional,Lift Up Box,2022-03-29 14:48:16.713000+09:00,2022-03-29 14:48:18.058000+09:00,
out:2befacd6-a35b-57a7-8fb1-30b629a1584f,U0209,S0500,Bx04,Struggling,Scan,2022-03-29 14:48:22.518000+09:00,2022-03-29 14:48:26.892000+09:00,HT
out:5900baf1-d63e-5f91-853f-81a6074910e5,U0209,S0500,Ex07,Additional,Lift Up Box,2022-03-29 14:48:35.061000+09:00,2022-03-29 14:48:35.855000+09:00,
